lat_values,lng_values,city,country,Temp,Humidity,Cloudiness,Wind Speed,Lat,Longitude
52.01083292371791,-52.30321622688176,saint anthony,ca,46.4,100,90,17.22,51.37,-55.58
-17.821607881284677,-102.76867842332994,puerto ayora,ec,77,65,75,17.22,-0.74,-90.35
39.89758509610667,22.174811580517655,elasson,gr,43.39,83,0,1.03,39.89,22.19
-28.681367320861995,-86.38415630426753,coquimbo,cl,55.4,82,75,9.17,-29.95,-71.34
40.859581738368746,-2.1234496676908066,calatayud,es,65.28,40,0,14.99,41.35,-1.64
11.682928883216263,-113.42708164636811,san patricio,mx,87.8,66,20,5.82,19.22,-104.7
-22.653141547847525,19.858099878626007,gobabis,na,71.47,29,88,7.52,-22.45,18.97
37.193890420599274,-123.44925816927216,pacifica,us,78.53,25,1,4.7,37.61,-122.49
-20.261264856008665,27.25104380068558,kalakamati,bw,64.72,81,64,21.68,-20.62,27.45
-2.86439225039274,29.14861092393582,cibitoke,bi,60.22,100,68,2.71,-2.89,29.12
-0.9797712742186064,94.76515279621668,sibolga,id,69.22,100,64,0.98,1.74,98.78
-26.405548757914914,152.85983110452116,nambour,au,71.43,87,0,4.12,-26.63,152.95
-35.09829606010815,-33.224898219385665,arraial do cabo,br,77,78,20,16.11,-22.97,-42.03
55.8375322389673,138.1364577203566,ayan,ru,25.75,100,36,3.38,56.45,138.17
16.070628763139894,137.3693161543838,airai,pw,66.93,99,100,8.3,31.73,130.67
4.0611541095441055,-56.398758235335094,wageningen,sr,82.14,98,0,13.78,5.77,-56.68
-85.144815819245,105.38997698664048,albany,au,56.89,76,88,20.71,-35.02,117.89
-89.61314968591873,3.504254719674492,hermanus,za,51.09,70,0,8.52,-34.42,19.23
41.934607969957455,24.021433352437754,rakitovo,bg,51.8,100,76,4.7,41.98,24.08
-35.174023535412395,121.60629085360779,esperance,au,55.68,66,0,13.89,-33.87,121.9
-79.76392707016633,18.25298030097821,bredasdorp,za,57.2,58,0,11.41,-34.53,20.04
41.161213797631206,-133.7589550667325,eureka,us,56.25,77,1,10.29,40.8,-124.16
40.02527122491452,166.17494527899885,severo-kurilsk,ru,40.2,96,24,20.11,50.68,156.12
-14.621208254879846,-85.96184078607936,huarmey,pe,71.88,56,20,3.83,-10.07,-78.15
-44.94563459986816,-177.5908506647824,vaini,to,80.6,78,75,12.75,-21.2,-175.2
51.415675925047765,-75.80409465590168,chapais,ca,37.4,67,90,10.29,49.78,-74.85
82.06263990272177,-158.58454454037258,barrow,us,23,92,90,24.16,71.29,-156.79
-8.039236081884567,-88.7055487941544,san cristobal,ec,73.4,73,75,17.22,-0.9,-89.62
71.49911767299304,136.93506030956735,nizhneyansk,ru,23,92,40,4.47,55.64,51.82
38.57869243434283,120.18015674654129,longkou,cn,53.79,100,0,8.75,37.65,120.33
-36.51131730109822,60.44323709854805,saint-philippe,re,71.6,64,0,4.7,-21.36,55.77
-38.82652451915401,177.41262142987694,wairoa,nz,56.13,97,88,12.39,-39.03,177.37
74.98306918757476,-97.28168199379493,thompson,ca,33.8,80,90,5.82,55.74,-97.86
81.6186770732302,11.127344141395895,barentsburg,sj,,,,,,
62.013850282080455,-158.6375581436229,bethel,us,62.15,31,1,5.82,41.37,-73.41
-0.6185959718677907,156.17474085423908,namatanai,pg,81.15,100,100,5.79,-3.67,152.43
72.50756509215915,66.64362079174572,sovetskiy,ru,22.92,85,56,5.35,61.36,63.58
58.46316941474885,-66.58942825986344,iqaluit,ca,17.6,67,75,8.05,63.75,-68.51
8.825575152796532,104.18349442739554,ca mau,vn,74.89,100,92,1.1,9.18,105.15
-26.099629601863924,-30.27265228251511,vila velha,br,80.6,78,0,18.34,-20.33,-40.29
42.305701672529864,24.900662920889545,rakovski,bg,51.8,100,80,4.7,42.3,24.97
22.73796444953814,-83.40076273775293,san diego de los banos,cu,82.41,70,76,9.6,22.65,-83.37
19.203394136694243,-6.708467239559752,araouane,ml,72.37,26,0,4.5,18.9,-3.53
21.364081691308073,-91.42292294320771,celestun,mx,79.84,100,0,7.85,20.87,-90.4
4.5561618390692615,-88.51492560155866,puerto baquerizo moreno,ec,73.4,73,75,17.22,-0.9,-89.6
12.170819532788158,26.449546517941513,umm kaddadah,sd,75.7,22,0,10.87,13.6,26.69
14.321916761833378,-36.506350624647496,porto novo,cv,78.8,74,20,14.99,17.02,-25.06
